station_code,station_name,latitude,longitude,state,zone,is_junction,track_degree,opened_year,established_date,historical_details,daily_footfall,platform_count,peak_crowd_level,bias_correction_flag
SWE,SIWAITH,25.577038,81.869261,Uttar Pradesh,NR,1,40,1879,1879-12-16,Established 1879 under NR Railway network expansion.,3829,2,NORMAL,JUNCTION_HUB
SXR,SERNDANUR,11.869105,79.518251,Tamil Nadu,SR,1,40,1893,1893-02-02,Established 1893 under SR Railway network expansion.,3983,2,NORMAL,JUNCTION_HUB
SY,SIRKAZHI,11.240305,79.726353,Tamil Nadu,SR,1,40,1867,1867-05-05,Established 1867 under SR Railway network expansion.,3092,1,NORMAL,JUNCTION_HUB
SYU,SARAYAN,27.396332,81.042877,All India,IR,1,40,1967,1967-06-06,Established 1967 under IR Railway network expansion.,4027,2,NORMAL,JUNCTION_HUB
SZV,Sivadi,12.039872,78.118844,Tamil Nadu,SWR,1,40,1999,1999-08-08,Established 1999 under SWR Railway network expansion.,4049,2,NORMAL,JUNCTION_HUB
TDPR,TIRUPADRIPULYUR,11.748883,79.753349,Tamil Nadu,SR,1,40,1899,1899-03-07,Established 1899 under SR Railway network expansion.,4654,1,NORMAL,JUNCTION_HUB
TPP,Toppur,11.931538,78.070201,Tamil Nadu,SWR,1,40,1984,1984-05-21,Established 1984 under SWR Railway network expansion.,3884,1,NORMAL,JUNCTION_HUB
TSF,TAHSIL FATEHPUR,27.168445,81.203969,All India,IR,1,40,2007,2007-10-14,Established 2007 under IR Railway network expansion.,3807,2,NORMAL,JUNCTION_HUB
TUY,THIRUTHURAIYUR,11.823788,79.534813,Tamil Nadu,SR,1,40,1898,1898-07-07,Established 1898 under SR Railway network expansion.,4038,1,NORMAL,JUNCTION_HUB
UCP,UCHIPPULI,9.308130,79.015093,Tamil Nadu,SR,1,40,1872,1872-05-09,Established 1872 under SR Railway network expansion.,3752,1,NORMAL,JUNCTION_HUB
UKA,UKHRA,23.653692,87.232537,West Bengal,ER,1,40,1865,1865-10-02,Established 1865 under ER Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
UTP,UTRIPURA,26.739740,80.095478,All India,IR,1,40,1959,1959-10-26,Established 1959 under IR Railway network expansion.,3939,2,NORMAL,JUNCTION_HUB
VDL,VITHISVARANKOL,11.195825,79.703785,Tamil Nadu,SR,1,40,1870,1870-03-07,Established 1870 under SR Railway network expansion.,17290,4,MODERATE,JUNCTION_HUB
VJK,VEJALKA,22.416769,71.719118,Gujarat,WR,1,40,1875,1875-08-12,Established 1875 under WR Railway network expansion.,17405,3,MODERATE,JUNCTION_HUB
VKP,VARAKALPATTU,11.765793,79.704026,Tamil Nadu,SR,1,40,1881,1881-02-18,Established 1881 under SR Railway network expansion.,3851,2,NORMAL,JUNCTION_HUB
VMP,VALLAMPADUGAI,11.350091,79.708219,Tamil Nadu,SR,1,40,1883,1883-04-20,Established 1883 under SR Railway network expansion.,3873,2,NORMAL,JUNCTION_HUB
VPO,BHUPIA MAU,25.875223,81.970286,Uttar Pradesh,NR,1,40,1885,1885-06-22,Established 1885 under NR Railway network expansion.,17635,4,MODERATE,JUNCTION_HUB
VTV,VALANTARAVAL,9.337064,78.911814,Tamil Nadu,SR,1,40,1896,1896-05-05,Established 1896 under SR Railway network expansion.,4016,1,NORMAL,JUNCTION_HUB
WC,WADHWAN CITY,22.702931,71.672360,Gujarat,WR,1,40,1904,1904-11-15,Established 1904 under WR Railway network expansion.,2894,1,NORMAL,JUNCTION_HUB
WDL,WANDAL,16.416601,75.863710,Karnataka,SWR,1,40,1971,1971-04-08,Established 1971 under SWR Railway network expansion.,3741,2,NORMAL,JUNCTION_HUB
YAG,YAQUTGANJ,27.325950,79.618493,All India,IR,1,40,1995,1995-10-02,Established 1995 under IR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
BGK,BAGALKOT,16.178793,75.700238,Karnataka,SWR,1,39,1952,1952-09-17,Established 1952 under SWR Railway network expansion.,3532,1,NORMAL,JUNCTION_HUB
BM,BODMA,23.897286,86.852624,All India,IR,1,39,1973,1973-12-04,Established 1973 under IR Railway network expansion.,2773,2,NORMAL,JUNCTION_HUB
MPY,MURARPUR,25.232759,86.886908,All India,IR,1,39,1956,1956-07-23,Established 1956 under IR Railway network expansion.,3906,1,NORMAL,JUNCTION_HUB
PRNA,PURNIA JN,25.790678,87.519124,All India,IR,1,39,1955,1955-06-26,Established 1955 under IR Railway network expansion.,19015,4,MODERATE,JUNCTION_HUB
VRL,VERAVAL,20.913351,70.370689,Gujarat,WR,1,39,1884,1884-05-21,Established 1884 under WR Railway network expansion.,3884,1,NORMAL,JUNCTION_HUB
AGY,AGORI KHAS,24.598960,83.056105,Uttar Pradesh,NCR,1,38,1965,1965-10-02,Established 1965 under NCR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
ALNP,Akelahanspur Halt,28.340540,80.315571,Uttar Pradesh,NER,1,38,1954,1954-12-20,Established 1954 under NER Railway network expansion.,4489,2,NORMAL,JUNCTION_HUB
AMPR,AMARPURA RATHAN,29.483399,74.078953,Rajasthan,NWR,1,38,1979,1979-05-25,Established 1979 under NWR Railway network expansion.,4544,1,NORMAL,JUNCTION_HUB
ANGR,ANGADGERI HALT,16.451874,75.845891,Karnataka,SWR,1,38,1971,1971-09-17,Established 1971 under SWR Railway network expansion.,4456,1,NORMAL,JUNCTION_HUB
AS,ARJANSAR,28.933796,73.871969,Rajasthan,NWR,1,38,1953,1953-05-09,Established 1953 under NWR Railway network expansion.,2828,1,NORMAL,JUNCTION_HUB
BBPR,BABUPUR,27.349971,81.070314,All India,IR,1,38,2004,2004-07-15,Established 2004 under IR Railway network expansion.,4434,1,NORMAL,JUNCTION_HUB
BDWL,BIRADHWAL,29.174117,73.896516,Rajasthan,NWR,1,38,1972,1972-10-18,Established 1972 under NWR Railway network expansion.,4467,2,NORMAL,JUNCTION_HUB
BENL,BENL,16.384407,75.882249,Karnataka,SWR,1,38,1964,1964-02-10,Established 1964 under SWR Railway network expansion.,57427,5,HIGH,JUNCTION_HUB
BJLP,BARAI JALALPUR,27.449608,80.800122,Uttar Pradesh,NER,1,38,1951,1951-09-17,Established 1951 under NER Railway network expansion.,4456,1,NORMAL,JUNCTION_HUB
BJUD,BAJUD,21.736131,71.827925,Gujarat,WR,1,38,1878,1878-06-14,Established 1878 under WR Railway network expansion.,4423,2,NORMAL,JUNCTION_HUB
BJV,Bijauria,28.574785,79.655274,Uttar Pradesh,NER,1,38,1941,1941-11-03,Established 1941 under NER Railway network expansion.,3686,1,NORMAL,JUNCTION_HUB
BLHR,BALAHAPUR HALT,25.120271,86.147815,All India,IR,1,38,2006,2006-09-17,Established 2006 under IR Railway network expansion.,4456,1,NORMAL,JUNCTION_HUB
BPC,Berhampore Court,24.089084,88.263642,West Bengal,ER,1,38,1908,1908-10-18,Established 1908 under ER Railway network expansion.,3543,2,NORMAL,JUNCTION_HUB
BUQ,Bargi,22.995933,79.875125,Madhya Pradesh,SECR,1,38,1972,1972-05-09,Established 1972 under SECR Railway network expansion.,3752,1,NORMAL,JUNCTION_HUB
DBI,DABLI RATHAN,29.542416,74.190930,Rajasthan,NWR,1,38,1947,1947-04-12,Established 1947 under NWR Railway network expansion.,3477,2,NORMAL,JUNCTION_HUB
DHRR,DHIRERA,28.363519,73.616355,Rajasthan,NWR,1,38,1979,1979-05-25,Established 1979 under NWR Railway network expansion.,4544,1,NORMAL,JUNCTION_HUB
DLC,DALMERA,28.417832,73.656580,Rajasthan,NWR,1,38,1951,1951-08-16,Established 1951 under NWR Railway network expansion.,3521,2,NORMAL,JUNCTION_HUB
JDL,JAGDEVWALA,28.310858,73.455750,Rajasthan,NWR,1,38,1958,1958-03-23,Established 1958 under NWR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
JMS,JAMSAR,28.247510,73.398985,Rajasthan,?,1,38,2004,2004-07-11,Established 2004 under ? Railway network expansion.,3774,1,NORMAL,JUNCTION_HUB
JRKT,JADARAMA KUNTE,16.284267,75.838661,Karnataka,SWR,1,38,1990,1990-04-08,Established 1990 under SWR Railway network expansion.,19245,2,MODERATE,JUNCTION_HUB
KDGI,KUDGI,16.530215,75.811482,Karnataka,SWR,1,38,1962,1962-12-08,Established 1962 under SWR Railway network expansion.,4357,2,NORMAL,JUNCTION_HUB
KLM,KADLIMATTI,16.236489,75.796092,Karnataka,SWR,1,38,1968,1968-01-05,Established 1968 under SWR Railway network expansion.,3708,1,NORMAL,JUNCTION_HUB
KNSR,KANASAR,28.145913,73.324726,Rajasthan,NWR,1,38,1993,1993-07-11,Established 1993 under NWR Railway network expansion.,4698,1,NORMAL,JUNCTION_HUB
KRLR,KARAILA ROAD JN,24.261081,82.719311,Madhya Pradesh,ECR,1,38,1990,1990-04-08,Established 1990 under ECR Railway network expansion.,19245,2,MODERATE,JUNCTION_HUB
KSAR,KUDALA SANGAM,16.306774,75.891059,Karnataka,SWR,1,38,1980,1980-06-26,Established 1980 under SWR Railway network expansion.,19015,4,MODERATE,JUNCTION_HUB
KWF,Katwa,23.639805,88.123575,West Bengal,ER,1,38,1872,1872-05-09,Established 1872 under ER Railway network expansion.,3752,1,NORMAL,JUNCTION_HUB
KZJF,KAZIPET F CABIN,17.974824,79.577271,All India,IR,1,38,1959,1959-10-02,Established 1959 under IR Railway network expansion.,4599,2,NORMAL,JUNCTION_HUB
LGH,LALGARH JN,28.043638,73.313909,Rajasthan,NWR,1,38,1959,1959-04-24,Established 1959 under NWR Railway network expansion.,3609,2,NORMAL,JUNCTION_HUB
LKS,LUNKARANSAR,28.493395,73.743155,Rajasthan,NWR,1,38,1974,1974-07-11,Established 1974 under NWR Railway network expansion.,3774,1,NORMAL,JUNCTION_HUB
LMGS,LUMDING SOUTH,25.757118,93.163576,All India,IR,1,38,1957,1957-08-28,Established 1957 under IR Railway network expansion.,4577,2,NORMAL,JUNCTION_HUB
LUSA,LUSA,24.876546,82.843318,Uttar Pradesh,NCR,1,38,1984,1984-10-02,Established 1984 under NCR Railway network expansion.,4599,2,NORMAL,JUNCTION_HUB
MCQ,MIRCHADHORI,24.291847,82.793413,Madhya Pradesh,ECR,1,38,1965,1965-10-02,Established 1965 under ECR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
MGPA,MUNDA GOPAL ASHRAM,27.255493,81.139283,All India,IR,1,38,2003,2003-06-14,Established 2003 under IR Railway network expansion.,4423,2,NORMAL,JUNCTION_HUB
MHJ,MAHAJAN,28.793007,73.853666,Rajasthan,NWR,1,38,1963,1963-08-28,Established 1963 under NWR Railway network expansion.,3653,2,NORMAL,JUNCTION_HUB
MLC,MALKISAR,28.654232,73.862645,Rajasthan,NWR,1,38,1960,1960-05-25,Established 1960 under NWR Railway network expansion.,17060,3,MODERATE,JUNCTION_HUB
MWF,MAGARDAHA,24.388753,82.905844,Uttar Pradesh,ECR,1,38,1974,1974-07-11,Established 1974 under ECR Railway network expansion.,3774,1,NORMAL,JUNCTION_HUB
NFKS,NFKS,21.575000,78.545000,All India,IR,1,38,1956,1956-07-27,Established 1956 under IR Railway network expansion.,58158,4,HIGH,JUNCTION_HUB
NGB,NAWABGANJ GONDA,27.153816,81.977064,All India,IR,1,38,1985,1985-12-20,Established 1985 under IR Railway network expansion.,16945,4,MODERATE,JUNCTION_HUB
NGC,NEW GUWAHATI,26.181703,91.792236,All India,IR,1,38,1986,1986-01-21,Established 1986 under IR Railway network expansion.,3576,1,NORMAL,JUNCTION_HUB
NMY,NOONMATI,26.180382,91.806851,All India,IR,1,38,1954,1954-05-21,Established 1954 under IR Railway network expansion.,3884,1,NORMAL,JUNCTION_HUB
NTZ,NATHWANA,28.563319,73.813703,Rajasthan,NWR,1,38,1992,1992-01-01,Established 1992 under NWR Railway network expansion.,3972,1,NORMAL,JUNCTION_HUB
OBR,OBRA DAM,24.438661,82.975949,Uttar Pradesh,ECR,1,38,1967,1967-12-04,Established 1967 under ECR Railway network expansion.,3697,2,NORMAL,JUNCTION_HUB
PGK,PILI BANGAN,29.483825,74.079282,Rajasthan,NWR,1,38,1966,1966-11-03,Established 1966 under NWR Railway network expansion.,3686,1,NORMAL,JUNCTION_HUB
PLS,PIPALSANA,28.952153,78.835330,Uttar Pradesh,NER,1,38,1954,1954-12-16,Established 1954 under NER Railway network expansion.,3829,2,NORMAL,JUNCTION_HUB
RBGJ,ROBERTS GANJ,24.683136,83.077822,Uttar Pradesh,NCR,1,38,1968,1968-06-14,Established 1968 under NCR Railway network expansion.,4423,2,NORMAL,JUNCTION_HUB
RGH,RAMGARHWA,26.873843,84.797149,Bihar,ECR,1,38,1965,1965-10-02,Established 1965 under ECR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
RHN,ROSHANPUR,29.046556,78.887727,Uttar Pradesh,NER,1,38,1947,1947-05-09,Established 1947 under NER Railway network expansion.,3752,1,NORMAL,JUNCTION_HUB
RJS,RAJIYASAR,29.067493,73.842164,Rajasthan,NWR,1,38,1979,1979-12-16,Established 1979 under NWR Railway network expansion.,3829,2,NORMAL,JUNCTION_HUB
RMH,RANGMAHAL,29.405816,73.974734,Rajasthan,NWR,1,38,1971,1971-04-08,Established 1971 under NWR Railway network expansion.,3741,2,NORMAL,JUNCTION_HUB
RMPR,RAMPUR HALT,25.172159,86.140654,All India,IR,1,38,1971,1971-10-14,Established 1971 under IR Railway network expansion.,4731,2,NORMAL,JUNCTION_HUB
RVSN,RVS NAGAR,13.278302,79.116257,All India,IR,1,38,1979,1979-06-22,Established 1979 under IR Railway network expansion.,4819,2,NORMAL,JUNCTION_HUB
SGD,SONGADH,21.728936,71.886759,Gujarat,WR,1,38,1862,1862-07-27,Established 1862 under WR Railway network expansion.,3642,1,NORMAL,JUNCTION_HUB
SII,SITIMANI,16.319920,75.865598,Karnataka,SWR,1,38,1969,1969-02-06,Established 1969 under SWR Railway network expansion.,3719,2,NORMAL,JUNCTION_HUB
SKDM,SIKRODA MINA,26.722854,77.002212,All India,IR,1,38,1953,1953-04-24,Established 1953 under IR Railway network expansion.,4533,2,NORMAL,JUNCTION_HUB
SKGH,SAKTESGARH,24.999741,82.821887,Uttar Pradesh,NCR,1,38,1976,1976-02-22,Established 1976 under NCR Railway network expansion.,4511,2,NORMAL,JUNCTION_HUB
SNBR,SONUABARY,26.172784,92.310137,All India,IR,1,38,1959,1959-10-02,Established 1959 under IR Railway network expansion.,4599,2,NORMAL,JUNCTION_HUB
SOA,SANOSRA,21.748110,71.789479,Gujarat,WR,1,38,1867,1867-12-04,Established 1867 under WR Railway network expansion.,3697,2,NORMAL,JUNCTION_HUB
SQZ,VANCHANGIRI,17.951283,79.667153,All India,IR,1,38,1964,1964-03-03,Established 1964 under IR Railway network expansion.,3994,1,NORMAL,JUNCTION_HUB
SSNR,Satsang Nagar Halt,24.490307,86.681681,Jharkhand,ER,1,38,1911,1911-03-19,Established 1911 under ER Railway network expansion.,4786,1,NORMAL,JUNCTION_HUB
STH,Sethal,28.543189,79.567366,Uttar Pradesh,NER,1,38,1954,1954-12-16,Established 1954 under NER Railway network expansion.,3829,2,NORMAL,JUNCTION_HUB
TBTN,THANA BHAWAN TN,29.581130,77.402047,Uttar Pradesh,NR,1,38,1897,1897-01-05,Established 1897 under NR Railway network expansion.,4632,1,NORMAL,JUNCTION_HUB
TGT,TINAI GHAT,15.449132,74.404471,Karnataka,SWR,1,38,1979,1979-12-16,Established 1979 under SWR Railway network expansion.,3829,2,NORMAL,JUNCTION_HUB
THBN,THANA BHAWAN,29.592663,77.410434,Uttar Pradesh,NR,1,38,1885,1885-01-21,Established 1885 under NR Railway network expansion.,18900,2,MODERATE,JUNCTION_HUB
BMGN,BAMUNI GAON,26.012010,91.282876,All India,IR,1,37,2002,2002-05-13,Established 2002 under IR Railway network expansion.,4412,1,NORMAL,JUNCTION_HUB
BYPY,BAIYYAPPANAHALLI YARD CABIN,13.006731,77.625580,All India,IR,1,37,1974,1974-01-17,Established 1974 under IR Railway network expansion.,4764,1,NORMAL,JUNCTION_HUB
CUK,CHURK,24.649679,83.103201,Uttar Pradesh,NCR,1,37,1967,1967-12-04,Established 1967 under NCR Railway network expansion.,3697,2,NORMAL,JUNCTION_HUB
KANL,KANL,21.560000,77.825000,All India,IR,1,37,2004,2004-07-15,Established 2004 under IR Railway network expansion.,4434,1,NORMAL,JUNCTION_HUB
KHRY,KHAIRAHI,24.802037,82.985774,Uttar Pradesh,NCR,1,37,1993,1993-07-11,Established 1993 under NCR Railway network expansion.,4698,1,NORMAL,JUNCTION_HUB
AKK,Akkihebbalu,12.624890,76.377598,Karnataka,SWR,1,36,1955,1955-12-20,Established 1955 under SWR Railway network expansion.,16945,4,MODERATE,JUNCTION_HUB
BAPR,BALLUPUR,27.586599,79.145148,All India,IR,1,36,2003,2003-06-14,Established 2003 under IR Railway network expansion.,4423,2,NORMAL,JUNCTION_HUB
BATL,BAIHATOLA,23.231204,82.058620,Madhya Pradesh,SECR,1,36,1966,1966-04-12,Established 1966 under SECR Railway network expansion.,4401,2,NORMAL,JUNCTION_HUB
BDVT,Bhadravati,13.842429,75.702832,Karnataka,SWR,1,36,1979,1979-05-25,Established 1979 under SWR Railway network expansion.,4544,1,NORMAL,JUNCTION_HUB
BGKA,BANGURKELA,22.350568,84.955270,All India,IR,1,36,1987,1987-02-26,Established 1987 under IR Railway network expansion.,4247,2,NORMAL,JUNCTION_HUB
BHG,Bhaton Ki Gali,27.105646,75.712919,Rajasthan,NWR,1,36,1949,1949-06-14,Established 1949 under NWR Railway network expansion.,3499,2,NORMAL,JUNCTION_HUB
BHK,BADHARI KALAN,27.799053,78.734589,All India,IR,1,36,1983,1983-10-18,Established 1983 under IR Railway network expansion.,3543,2,NORMAL,JUNCTION_HUB
BHTS,BHATASA,27.503757,79.383888,All India,IR,1,36,1955,1955-06-26,Established 1955 under IR Railway network expansion.,19015,4,MODERATE,JUNCTION_HUB
BJRI,BIJURI,23.250339,82.118946,Madhya Pradesh,SECR,1,36,1970,1970-08-16,Established 1970 under SECR Railway network expansion.,18785,3,MODERATE,JUNCTION_HUB
BKPR,BAKASPUR,22.981020,84.953730,All India,IR,1,36,1953,1953-04-24,Established 1953 under IR Railway network expansion.,4533,2,NORMAL,JUNCTION_HUB
BLT,BALOTRA JN,25.830071,72.248683,Rajasthan,NWR,1,36,1966,1966-11-03,Established 1966 under NWR Railway network expansion.,3686,1,NORMAL,JUNCTION_HUB
BMQ,BHIMARLAI,25.892931,71.881736,Rajasthan,NWR,1,36,1964,1964-09-01,Established 1964 under NWR Railway network expansion.,3664,1,NORMAL,JUNCTION_HUB
BQG,Bhagwangola,24.333178,88.309816,West Bengal,ER,1,36,1913,1913-03-23,Established 1913 under ER Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
BRBR,BARBERA,22.575562,84.869421,All India,IR,1,36,2006,2006-09-17,Established 2006 under IR Railway network expansion.,4456,1,NORMAL,JUNCTION_HUB
BRLA,BRAYLA CHAURASI,23.555683,75.092761,Madhya Pradesh,WR,1,36,1874,1874-02-10,Established 1874 under WR Railway network expansion.,57427,5,HIGH,JUNCTION_HUB
BSDA,BANIYA SANDA DHORA,25.860230,71.668563,Rajasthan,NWR,1,36,1957,1957-07-03,Established 1957 under NWR Railway network expansion.,4302,1,NORMAL,JUNCTION_HUB
BSPK,BISPUR,22.374020,84.946407,All India,IR,1,36,1954,1954-05-25,Established 1954 under IR Railway network expansion.,4544,1,NORMAL,JUNCTION_HUB
BUT,BAYTU,25.897538,71.768680,Rajasthan,NWR,1,36,1975,1975-08-12,Established 1975 under NWR Railway network expansion.,17405,3,MODERATE,JUNCTION_HUB
CBU,Chinna Babu Samudram,11.919465,79.686417,Tamil Nadu,SR,1,36,1913,1913-03-23,Established 1913 under SR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
CCLW,CCLINK-WEST,22.657411,88.305512,All India,IR,1,36,2007,2007-10-18,Established 2007 under IR Railway network expansion.,4467,2,NORMAL,JUNCTION_HUB
CLR,CASTLE ROCK,15.397879,74.334484,Karnataka,SWR,1,36,1965,1965-10-02,Established 1965 under SWR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
COD,Chhota Gudha,27.293803,75.599508,Rajasthan,NWR,1,36,1954,1954-11-19,Established 1954 under NWR Railway network expansion.,3554,1,NORMAL,JUNCTION_HUB
COM,Chomun Samod,27.158223,75.702720,Rajasthan,NWR,1,36,1963,1963-08-28,Established 1963 under NWR Railway network expansion.,3653,2,NORMAL,JUNCTION_HUB
CSZ,Cossimbazar,24.122264,88.266903,West Bengal,ER,1,36,1880,1880-01-17,Established 1880 under ER Railway network expansion.,17520,2,MODERATE,JUNCTION_HUB
DDX,DHAMDHAMIA,24.960388,87.761557,All India,IR,1,36,1994,1994-09-01,Established 1994 under IR Railway network expansion.,3664,1,NORMAL,JUNCTION_HUB
DJS,DHURANT JWAS HALT,25.220474,86.047715,All India,IR,1,36,1995,1995-10-02,Established 1995 under IR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
DKBJ,Dahar Ka Balaji,26.944321,75.765669,Rajasthan,NWR,1,36,1958,1958-08-04,Established 1958 under NWR Railway network expansion.,4313,2,NORMAL,JUNCTION_HUB
DLD,DALAUDA,23.948637,75.105361,Madhya Pradesh,WR,1,36,1907,1907-09-17,Established 1907 under WR Railway network expansion.,3532,1,NORMAL,JUNCTION_HUB
DOD,DHODHAR,23.770741,75.103546,Madhya Pradesh,WR,1,36,1910,1910-12-20,Established 1910 under WR Railway network expansion.,16945,4,MODERATE,JUNCTION_HUB
DRO,DARYAOGONJ,27.598099,79.082496,All India,IR,1,36,1999,1999-02-06,Established 1999 under IR Railway network expansion.,3719,2,NORMAL,JUNCTION_HUB
DRSN,DHURWASIN,23.129052,81.845641,Madhya Pradesh,SECR,1,36,1986,1986-12-04,Established 1986 under SECR Railway network expansion.,4621,2,NORMAL,JUNCTION_HUB
EDU,ERIODU,10.515628,78.057129,Tamil Nadu,SR,1,36,1862,1862-07-27,Established 1862 under SR Railway network expansion.,3642,1,NORMAL,JUNCTION_HUB
GGSY,GANGA SAHAI,25.269767,86.018783,All India,IR,1,36,1964,1964-03-07,Established 1964 under IR Railway network expansion.,4654,1,NORMAL,JUNCTION_HUB
GNCN,GURLA N CABIN,25.297230,75.904656,All India,IR,1,36,2004,2004-07-15,Established 2004 under IR Railway network expansion.,4434,1,NORMAL,JUNCTION_HUB
GND,Govindgarh Malikpur,27.240582,75.645001,Rajasthan,NWR,1,36,1957,1957-02-22,Established 1957 under NWR Railway network expansion.,3587,2,NORMAL,JUNCTION_HUB
GOLE,GOLE,25.891938,72.000040,Rajasthan,NWR,1,36,1970,1970-08-16,Established 1970 under NWR Railway network expansion.,18785,3,MODERATE,JUNCTION_HUB
GRPA,Garhpura,25.654720,86.209037,Bihar,ECR,1,36,1973,1973-11-19,Established 1973 under ECR Railway network expansion.,4478,1,NORMAL,JUNCTION_HUB
GWA,GANJ DUNDWARA,27.726403,78.939319,All India,IR,1,36,1993,1993-08-28,Established 1993 under IR Railway network expansion.,3653,2,NORMAL,JUNCTION_HUB
HDW,HALDWANI,29.215097,79.533732,Uttarakhand,NER,1,36,1942,1942-12-04,Established 1942 under NER Railway network expansion.,3697,2,NORMAL,JUNCTION_HUB
HKL,HARKIA KHAL,24.363234,74.919665,Rajasthan,WR,1,36,1863,1863-08-28,Established 1863 under WR Railway network expansion.,3653,2,NORMAL,JUNCTION_HUB
HLN,Hole Narsipur,12.786495,76.246460,Karnataka,SWR,1,36,1966,1966-11-03,Established 1966 under SWR Railway network expansion.,3686,1,NORMAL,JUNCTION_HUB
HMP,HEMPUR,27.616282,80.562649,All India,IR,1,36,1999,1999-02-06,Established 1999 under IR Railway network expansion.,3719,2,NORMAL,JUNCTION_HUB
HRV,HARRAD,23.161136,81.904040,Madhya Pradesh,SECR,1,36,1980,1980-01-17,Established 1980 under SECR Railway network expansion.,17520,2,MODERATE,JUNCTION_HUB
JAK,Jakanur,15.845019,75.650291,Karnataka,SWR,1,36,1954,1954-11-19,Established 1954 under SWR Railway network expansion.,3554,1,NORMAL,JUNCTION_HUB
JAO,JAORA,23.627773,75.115632,Madhya Pradesh,WR,1,36,1913,1913-03-23,Established 1913 under WR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
JBG,JUNG BAHADURGNJ,27.768419,80.172851,All India,IR,1,36,1981,1981-08-16,Established 1981 under IR Railway network expansion.,3521,2,NORMAL,JUNCTION_HUB
JGX,JARIAGARH,23.008842,84.986693,All India,IR,1,36,2003,2003-06-10,Established 2003 under IR Railway network expansion.,3763,2,NORMAL,JUNCTION_HUB
JJG,JiaGanj,24.244268,88.276980,West Bengal,ER,1,36,1914,1914-04-24,Established 1914 under ER Railway network expansion.,3609,2,NORMAL,JUNCTION_HUB
JKH,JAHANIKHERA,27.743838,80.239342,All India,IR,1,36,1991,1991-06-26,Established 1991 under IR Railway network expansion.,54503,6,HIGH,JUNCTION_HUB
JNE,JANIYANA,25.827638,72.336284,Rajasthan,NWR,1,36,1961,1961-06-26,Established 1961 under NWR Railway network expansion.,54503,6,HIGH,JUNCTION_HUB
JON,JONHA,23.358959,85.608914,All India,IR,1,36,2001,2001-04-08,Established 2001 under IR Railway network expansion.,3741,2,NORMAL,JUNCTION_HUB
KATR,KATARIYA,23.289037,70.604533,All India,IR,1,36,1956,1956-07-27,Established 1956 under IR Railway network expansion.,58158,4,HIGH,JUNCTION_HUB
KCNR,KACHNARA ROAD,23.829547,75.101751,Madhya Pradesh,WR,1,36,1887,1887-03-23,Established 1887 under WR Railway network expansion.,4522,1,NORMAL,JUNCTION_HUB
KDRD,KHULDIL ROAD,24.368372,82.861610,Uttar Pradesh,ECR,1,36,1968,1968-06-14,Established 1968 under ECR Railway network expansion.,4423,2,NORMAL,JUNCTION_HUB
KEA,KATRA,26.842992,82.204937,All India,IR,1,36,1979,1979-06-14,Established 1979 under IR Railway network expansion.,3499,2,NORMAL,JUNCTION_HUB
KHTX,KHED TEMPLE HALT,25.886234,72.109226,Rajasthan,NWR,1,36,1994,1994-08-12,Established 1994 under NWR Railway network expansion.,4709,2,NORMAL,JUNCTION_HUB
KJS,Krishnarajasagar,12.401426,76.567029,Karnataka,SWR,1,36,1972,1972-05-09,Established 1972 under SWR Railway network expansion.,3752,1,NORMAL,JUNCTION_HUB
KMJ,KAIMGANJ,27.540977,79.327216,All India,IR,1,36,1996,1996-11-03,Established 1996 under IR Railway network expansion.,3686,1,NORMAL,JUNCTION_HUB
KNRN,KANAROAN,22.600484,84.877026,All India,IR,1,36,1963,1963-02-06,Established 1963 under IR Railway network expansion.,4643,2,NORMAL,JUNCTION_HUB
KRJR,KARJARA,24.808297,85.151844,Bihar,ECR,1,36,1988,1988-02-06,Established 1988 under ECR Railway network expansion.,4643,2,NORMAL,JUNCTION_HUB
KRKR,KURKURA,22.763217,84.931238,All India,IR,1,36,1964,1964-03-07,Established 1964 under IR Railway network expansion.,4654,1,NORMAL,JUNCTION_HUB
KRNH,Karanahalli,13.667161,75.934385,Karnataka,SWR,1,36,1982,1982-08-28,Established 1982 under SWR Railway network expansion.,4577,2,NORMAL,JUNCTION_HUB
KRNR,Krishnarajanagara,12.445410,76.388627,Karnataka,SWR,1,36,1992,1992-06-10,Established 1992 under SWR Railway network expansion.,4687,2,NORMAL,JUNCTION_HUB
KRP,Krishnapur,24.406331,88.256132,West Bengal,ER,1,36,1877,1877-10-14,Established 1877 under ER Railway network expansion.,3807,2,NORMAL,JUNCTION_HUB
KRPA,KHARIAPIPRA HALT,25.242819,86.626717,All India,IR,1,36,1952,1952-03-23,Established 1952 under IR Railway network expansion.,4522,1,NORMAL,JUNCTION_HUB
